SelectVenue,TasteofFood,QualityofFood,ManuVariety,ValuefortheMoney,OrderAccuracy,SpeedofService,Ambiance,OverallSatisfaction,Recomendation
PearlMarriageHall,Excellent,Fair,Good,Fair,Excellent,Good,Fair,Good,Probablyyes
TheRoyalBanquet,Fair,Good,Good,Excellent,Excellent,Good,Fair,Good,Probablyyes
QuilimMarquee,Fair,Good,Good,Excellent,Excellent,Good,Fair,Good,Definitelyyes
BandhanMarriageHall,Excellent,Fair,Excellent,Good,Excellent,Good,Good,Excellent,Probablyyes
TheSheratonMarquee,Fair,Good,Excellent,Good,Fair,Excellent,Good,Good,Probablyyes
FaisalabadMarriageHall,Fair,Good,Excellent,Good,Excellent,Good,Fair,Good,Probablyyes
CrownPalaceMarquee,Excellent,Fair,Excellent,Good,Good,Excellent,Good,Fair,Probablyyes
PearlMarriageHall,Good,Good,Good,Good,Fair,Fair,Fair,Fair,Probablyyes
KhayyamBanquetHall,Fair,Good,Excellent,Good,Excellent,Good,Excellent,Excellent,Definitelyyes
FaisalabadMarriageHall,Fair,Good,Excellent,Good,Good,Fair,Good,Fair,Probablyyes
TheRoyalBanquet,Excellent,Fair,Good,Fair,Good,Poor,Fair,Fair,Probablyyes
GulistanMarriageHall,Good,Fair,Good,Excellent,Fair,Good,Excellent,Good,Definitelyyes
TheRoyalBanquet,Excellent,Fair,Good,Fair,Good,Excellent,Fair,Excellent,Definitelyyes
KoheToorMarquee,Good,Excellent,Good,Excellent,Fair,Good,Good,Excellent,Definitelyyes
ParadiseGrandMarquee,Excellent,Good,Good,Excellent,Fair,Good,Excellent,Excellent,Definitelyyes
FaisalabadMarriageHall,Fair,Good,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Definitelyyes
TamaseelMarriageHall,Good,Fair,Excellent,Fair,Excellent,Fair,Good,Good,Probablyyes
PearlMarriageHall,Fair,Good,Excellent,Good,Excellent,Good,Fair,Good,Probablyyes
BandhanMarriageHall,Good,Poor,Good,Fair,Fair,Good,Fair,Fair,Probablyno
GulistanMarriageHall,Fair,Good,Good,Excellent,Fair,Excellent,Good,Excellent,Definitelyyes
KhayyamBanquetHall,Good,Poor,Good,Fair,Fair,Poor,Poor,Poor,Definitelyno
LaraibBanquet,Good,Fair,Good,Excellent,Good,Excellent,Good,Fair,Probablyyes
BandhanMarriageHall,Good,Fair,Good,Excellent,Good,Excellent,Good,Fair,Probablyyes
CrystalsBanquetHall,Poor,Fair,Good,Fair,Good,Fair,Poor,Fair,Probablyno
FaisalabadMarriageHall,Fair,Good,Excellent,Good,Excellent,Good,Fair,Excellent,Definitelyyes
QuilimMarquee,Good,Fair,Fair,Poor,Poor,Fair,Good,Fair,Probablyno
KoheToorMarquee,Good,Fair,Good,Excellent,Fair,Good,Good,Fair,Probablyyes
WeddingMarquee,Good,Good,Fair,Good,Fair,Poor,Fair,Good,Probablyno
GulistanMarriageHall,Fair,Poor,Fair,Good,Fair,Good,Fair,Poor,Definitelyno
TamaseelMarriageHall,Excellent,Fair,Excellent,Good,Good,Excellent,Good,Excellent,Definitelyyes
BandhanMarriageHall,Excellent,Good,Good,Fair,Fair,Good,Fair,Good,Definitelyyes
JumeirahPalace,Good,Poor,Good,Fair,Good,Poor,Fair,Poor,Definitelyno
KhayyamBanquetHall,Good,Fair,Fair,Poor,Fair,Good,Fair,Good,Probablyyes
CrystalsBanquetHall,Good,Fair,Poor,Fair,Poor,Fair,Fair,Fair,Probablyno
BandhanMarriageHall,Poor,Fair,Good,Fair,Good,Fair,Poor,Fair,Probablyno
TamaseelMarriageHall,Good,Fair,Good,Excellent,Fair,Good,Fair,Good,Probablyyes
StarMarquee,Good,Excellent,Good,Fair,Good,Good,Fair,Good,Definitelyyes
QuilimMarquee,Poor,Fair,Good,Fair,Good,Poor,Fair,Poor,Definitelyno
TamaseelMarriageHall,Good,Fair,Excellent,Good,Good,Excellent,Excellent,Excellent,Definitelyyes
PearlMarriageHall,Excellent,Excellent,Good,Fair,Good,Fair,Good,Excellent,Definitelyyes
TheSheratonMarquee,Fair,Good,Good,Fair,Fair,Poor,Fair,Fair,Probablyyes
TamaseelMarriageHall,Good,Fair,Fair,Good,Poor,Poor,Fair,Poor,Definitelyno
TheRoyalBanquet,Fair,Good,Fair,Good,Fair,Fair,Good,Fair,Probablyno
JumeirahPalace,Excellent,Good,Good,Fair,Fair,Good,Excellent,Good,Definitelyyes
GulistanMarriageHall,Fair,Fair,Excellent,Good,Good,Excellent,Good,Good,Definitelyyes
BandhanMarriageHall,Excellent,Good,Excellent,Good,Excellent,Excellent,Good,Excellent,Definitelyyes
TamaseelMarriageHall,Good,Good,Excellent,Good,Fair,Good,Good,Excellent,Definitelyyes
BandhanMarriageHall,Fair,Good,Excellent,Good,Excellent,Good,Good,Excellent,Definitelyyes
FaisalabadMarriageHall,Good,Good,Good,Excellent,Excellent,Good,Fair,Good,Definitelyyes
StarMarquee,Fair,Fair,Poor,Poor,Good,Fair,Fair,Poor,Definitelyno
JumeirahPalace,Good,Fair,Fair,Fair,Poor,Poor,Fair,Fair,Probablyno
VictoriaMarquee,Good,Good,Good,Excellent,Fair,Good,Excellent,Excellent,Definitelyyes
RoyalPalmMarquee,Excellent,Good,Excellent,Good,Fair,Good,Excellent,Good,Definitelyyes
KoheToorMarquee,Good,Fair,Fair,Good,Good,Fair,Good,Good,Probablyyes
LayalpurMarquee,Excellent,Good,Excellent,Good,Fair,Good,Excellent,Good,Probablyyes
RoyalPalmMarquee,Good,Fair,Good,Excellent,Excellent,Good,Excellent,Good,Definitelyyes
BandhanMarriageHall,Fair,Fair,Excellent,Good,Good,Good,Excellent,Excellent,Definitelyyes
GulistanMarriageHall,Good,Fair,Excellent,Good,Good,Excellent,Excellent,Excellent,Definitelyyes
TamaseelMarriageHall,Good,Excellent,Excellent,Good,Fair,Fair,Good,Excellent,Definitelyyes
VictoriaMarquee,Fair,Good,Excellent,Good,Good,Excellent,Good,Fair,Probablyyes
CrystalsBanquetHall,Fair,Good,Excellent,Good,Good,Excellent,Good,Excellent,Definitelyyes
TheSheratonMarquee,Excellent,Good,Excellent,Good,Fair,Good,Excellent,Excellent,Definitelyyes
SevenSeasMarquee,Excellent,Good,Excellent,Good,Fair,Good,Good,Excellent,Definitelyyes
WeddingMarquee,Fair,Fair,Excellent,Good,Excellent,Good,Fair,Good,Probablyyes
KoheToorMarquee,Good,Fair,Poor,Fair,Poor,Poor,Fair,Poor,Definitelyno
KhayyamBanquetHall,Good,Good,Good,Fair,Fair,Poor,Good,Fair,Probablyno
KhayyamBanquetHall,Excellent,Good,Good,Fair,Fair,Good,Excellent,Good,Probablyyes
WeddingMarquee,Fair,Poor,Fair,Good,Fair,Good,Poor,Fair,Definitelyno
VictoriaMarquee,Good,Excellent,Excellent,Good,Good,Good,Excellent,Good,Definitelyyes
KoheToorMarquee,Fair,Poor,Good,Fair,Poor,Fair,Poor,Poor,Definitelyno
JumeirahPalace,Good,Good,Good,Good,Good,Fair,Excellent,Good,Definitelyyes
SevenSeasMarquee,Good,Fair,Fair,Fair,Good,Good,Good,Fair,Probablyno
VictoriaMarquee,Fair,Excellent,Good,Good,Fair,Fair,Poor,Fair,Probablyno
CrownPalaceMarquee,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Definitelyyes
ParadiseGrandMarquee,Excellent,Fair,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Probablyyes
CrystalsBanquetHall,Good,Good,Fair,Fair,Excellent,Excellent,Good,Good,Probablyno
LayalpurMarquee,Excellent,Excellent,Excellent,Fair,Excellent,Excellent,Fair,Fair,Probablyyes
WeddingMarquee,Fair,Good,Good,Good,Fair,Poor,Fair,Fair,Probablyno
LaraibBanquet,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Fair,Excellent,Definitelyyes
KhayyamBanquetHall,Good,Fair,Fair,Fair,Good,Good,Poor,Fair,Probablyno
VictoriaMarquee,Fair,Poor,Poor,Poor,Fair,Good,Fair,Poor,Definitelyno
LayalpurMarquee,Excellent,Good,Good,Good,Excellent,Fair,Excellent,Good,Probablyyes
WeddingMarquee,Good,Poor,Fair,Fair,Good,Excellent,Fair,Fair,Probablyno
TheRoyalBanquet,Fair,Fair,Good,Good,Good,Good,Excellent,Good,Probablyyes
TheRoyalBanquet,Excellent,Good,Good,Good,Excellent,Excellent,Excellent,Good,Probablyyes
PearlMarriageHall,Excellent,Excellent,Good,Good,Excellent,Excellent,Good,Good,Probablyyes
JumeirahPalace,Good,Poor,Fair,Fair,Good,Good,Fair,Poor,Definitelyno
SevenSeasMarquee,Good,Good,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Definitelyyes
QuilimMarquee,Fair,Fair,Good,Good,Good,Poor,Poor,Fair,Probablyno
CrownPalaceMarquee,Excellent,Good,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Definitelyyes
TheRoyalBanquet,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Fair,Excellent,Definitelyyes
CrystalsBanquetHall,Good,Good,Excellent,Excellent,Excellent,Good,Good,Excellent,Definitelyyes
VictoriaMarquee,Fair,Fair,Good,Good,Good,Fair,Fair,Fair,Probablyno
JumeirahPalace,Good,Good,Good,Good,Good,Good,Fair,Good,Probablyyes
ParadiseGrandMarquee,Good,Excellent,Excellent,Excellent,Good,Good,Fair,Excellent,Probablyyes
PearlMarriageHall,Fair,Good,Good,Good,Good,Good,Good,Good,Probablyyes
TheCastleMarquee,Fair,Good,Good,Good,Fair,Fair,Good,Fair,Probablyno
TheRoyalBanquet,Fair,Good,Good,Good,Good,Good,Good,Good,Probablyyes
KoheToorMarquee,Excellent,Good,Excellent,Excellent,Good,Good,Excellent,Good,Probablyyes
WeddingMarquee,Excellent,Excellent,Excellent,Excellent,Good,Good,Excellent,Excellent,Definitelyyes
TheSheratonMarquee,Good,Excellent,Excellent,Excellent,Good,Excellent,Good,Excellent,Definitelyyes
StarMarquee,Good,Excellent,Excellent,Excellent,Good,Excellent,Good,Excellent,Definitelyyes
VictoriaMarquee,Excellent,Fair,Good,Good,Good,Good,Good,Good,Probablyyes
JumeirahPalace,Excellent,Good,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Definitelyyes
ParadiseGrandMarquee,Excellent,Good,Good,Fair,Fair,Fair,Good,Good,Probablyyes
KhayyamBanquetHall,Fair,Fair,Good,Excellent,Good,Excellent,Good,Fair,Definitelyyes
BandhanMarriageHall,Fair,Good,Excellent,Excellent,Good,Good,Fair,Excellent,Probablyyes
CrystalsBanquetHall,Fair,Poor,Fair,Good,Fair,Fair,Good,Fair,Probablyno
TheCastleMarquee,Fair,Fair,Fair,Poor,Good,Good,Fair,Fair,Definitelyno
WeddingMarquee,Good,Fair,Good,Good,Fair,Good,Excellent,Good,Probablyyes
PearlMarriageHall,Fair,Good,Good,Fair,Good,Excellent,Good,Fair,Probablyno
StarMarquee,Good,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Definitelyyes
WeddingMarquee,Fair,Poor,Excellent,Good,Fair,Fair,Good,Fair,Probablyno
LayalpurMarquee,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Definitelyyes
GulistanMarriageHall,Good,Poor,Good,Fair,Fair,Poor,Good,Fair,Probablyno
PearlMarriageHall,Excellent,Good,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Definitelyyes
GulistanMarriageHall,Excellent,Fair,Excellent,Good,Good,Good,Excellent,Excellent,Definitelyyes
PearlMarriageHall,Good,Excellent,Excellent,Good,Good,Fair,Good,Good,Probablyyes
LaraibBanquet,Good,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Definitelyyes
QuilimMarquee,Fair,Good,Excellent,Good,Excellent,Good,Good,Good,Definitelyyes
CrystalsBanquetHall,Good,Fair,Good,Excellent,Good,Excellent,Good,Excellent,Definitelyyes
CrystalsBanquetHall,Fair,Fair,Excellent,Good,Good,Good,Excellent,Excellent,Definitelyyes
PearlMarriageHall,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Definitelyyes
ParadiseGrandMarquee,Good,Excellent,Good,Good,Good,Excellent,Excellent,Good,Definitelyyes
KhayyamBanquetHall,Good,Fair,Fair,Fair,Excellent,Excellent,Excellent,Fair,Probablyno
ParadiseGrandMarquee,Fair,Good,Excellent,Excellent,Good,Good,Good,Excellent,Definitelyyes
TheSheratonMarquee,Fair,Good,Excellent,Good,Excellent,Good,Excellent,Excellent,Definitelyyes
SevenSeasMarquee,Excellent,Good,Excellent,Good,Fair,Good,Excellent,Excellent,Definitelyyes
TamaseelMarriageHall,Fair,Poor,Good,Fair,Poor,Fair,Fair,Poor,Definitelyno
TheCastleMarquee,Good,Fair,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Probablyyes
CrystalsBanquetHall,Fair,Good,Good,Good,Fair,Poor,Good,Fair,Probablyno
FaisalabadMarriageHall,Good,Good,Fair,Fair,Fair,Good,Good,Fair,Probablyno
ParadiseGrandMarquee,Good,Good,Excellent,Good,Good,Excellent,Good,Good,Definitelyyes
PearlMarriageHall,Good,Good,Excellent,Excellent,Excellent,Good,Good,Excellent,Probablyyes
CrystalsBanquetHall,Good,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Definitelyyes
TamaseelMarriageHall,Good,Excellent,Excellent,Excellent,Poor,Excellent,Fair,Good,Probablyno
PearlMarriageHall,Excellent,Fair,Excellent,Good,Good,Excellent,Excellent,Excellent,Definitelyyes
CrystalsBanquetHall,Good,Fair,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Probablyyes
CrystalsBanquetHall,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Good,Excellent,Definitelyyes
CrystalsBanquetHall,Good,Fair,Excellent,Excellent,Good,Excellent,Fair,Good,Probablyyes
FaisalabadMarriageHall,Fair,Good,Excellent,Good,Fair,Excellent,Excellent,Excellent,Definitelyyes
LaraibBanquet,Excellent,Good,Excellent,Good,Fair,Good,Excellent,Good,Probablyyes
CrownPalaceMarquee,Fair,Good,Excellent,Good,Fair,Good,Good,Good,Probablyyes
BandhanMarriageHall,Excellent,Good,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Definitelyyes
KhayyamBanquetHall,Good,Excellent,Fair,Fair,Good,Excellent,Excellent,Good,Probablyno
TheCastleMarquee,Excellent,Good,Fair,Good,Good,Excellent,Excellent,Good,Probablyyes
StarMarquee,Good,Fair,Fair,Fair,Good,Good,Good,Good,Probablyyes
KoheToorMarquee,Good,Good,Excellent,Excellent,Excellent,Excellent,Fair,Excellent,Definitelyyes
PearlMarriageHall,Fair,Good,Excellent,Good,Fair,Good,Excellent,Good,Probablyyes
RoyalPalmMarquee,Excellent,Good,Excellent,Good,Excellent,Good,Excellent,Excellent,Probablyyes
RoyalPalmMarquee,Excellent,Excellent,Excellent,Good,Good,Excellent,Good,Excellent,Definitelyyes
QuilimMarquee,Fair,Good,Excellent,Good,Good,Excellent,Excellent,Good,Definitelyyes
CrystalsBanquetHall,Fair,Good,Excellent,Good,Good,Good,Excellent,Excellent,Definitelyyes
GulistanMarriageHall,Excellent,Fair,Excellent,Good,Good,Excellent,Good,Excellent,Definitelyyes
LayalpurMarquee,Excellent,Good,Excellent,Good,Excellent,Good,Excellent,Excellent,Definitelyyes
VictoriaMarquee,Excellent,Good,Good,Good,Good,Fair,Good,Good,Probablyyes
CrystalsBanquetHall,Excellent,Fair,Excellent,Excellent,Good,Good,Excellent,Excellent,Probablyyes
TheRoyalBanquet,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Definitelyyes
QuilimMarquee,Good,Fair,Good,Good,Good,Fair,Good,Good,Probablyyes
LayalpurMarquee,Fair,Good,Good,Excellent,Fair,Excellent,Excellent,Excellent,Definitelyyes
TheSheratonMarquee,Good,Good,Good,Good,Good,Good,Fair,Good,Probablyyes
GulistanMarriageHall,Good,Fair,Excellent,Excellent,Good,Good,Good,Good,Probablyyes
KhayyamBanquetHall,Good,Fair,Good,Excellent,Good,Excellent,Good,Good,Probablyyes
LayalpurMarquee,Poor,Fair,Good,Good,Good,Good,Good,Good,Probablyyes
RoyalPalmMarquee,Good,Good,Good,Excellent,Excellent,Good,Excellent,Excellent,Definitelyyes
LayalpurMarquee,Good,Good,Excellent,Excellent,Fair,Good,Good,Good,Probablyyes
CrownPalaceMarquee,Fair,Fair,Excellent,Excellent,Good,Good,Fair,Good,Probablyyes
ParadiseGrandMarquee,Good,Good,Excellent,Excellent,Good,Fair,Excellent,Good,Probablyyes
TheCastleMarquee,Excellent,Fair,Excellent,Good,Good,Fair,Good,Excellent,Definitelyyes
PearlMarriageHall,Good,Excellent,Good,Good,Excellent,Excellent,Good,Good,Probablyyes
RoyalPalmMarquee,Excellent,Fair,Good,Good,Good,Excellent,Good,Good,Probablyyes
TheSheratonMarquee,Fair,Fair,Excellent,Good,Good,Good,Excellent,Good,Definitelyyes
TheSheratonMarquee,Excellent,Good,Excellent,Good,Excellent,Good,Excellent,Excellent,Definitelyyes
ParadiseGrandMarquee,Excellent,Good,Good,Good,Good,Good,Good,Excellent,Probablyyes
WeddingMarquee,Fair,Fair,Good,Good,Good,Good,Excellent,Good,Probablyyes
PearlMarriageHall,Fair,Poor,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Probablyyes
CrystalsBanquetHall,Fair,Good,Excellent,Good,Excellent,Good,Excellent,Excellent,Definitelyyes
RoyalPalmMarquee,Fair,Good,Excellent,Good,Excellent,Good,Excellent,Excellent,Definitelyyes
RoyalPalmMarquee,Excellent,Good,Excellent,Good,Fair,Good,Good,Excellent,Definitelyyes
TamaseelMarriageHall,Fair,Good,Excellent,Good,Excellent,Excellent,Good,Excellent,Definitelyyes
TheCastleMarquee,Good,Fair,Excellent,Good,Good,Fair,Excellent,Excellent,Definitelyyes
SevenSeasMarquee,Good,Poor,Good,Fair,Poor,Fair,Fair,Fair,Definitelyno
QuilimMarquee,Excellent,Fair,Good,Fair,Good,Fair,Good,Good,Probablyyes
RoyalPalmMarquee,Fair,Good,Excellent,Good,Excellent,Fair,Good,Excellent,Definitelyyes
SevenSeasMarquee,Good,Fair,Excellent,Good,Good,Good,Excellent,Excellent,Definitelyyes
QuilimMarquee,Good,Fair,Excellent,Good,Good,Fair,Good,Good,Probablyyes
StarMarquee,Fair,Good,Excellent,Good,Good,Excellent,Good,Good,Probablyyes
SevenSeasMarquee,Fair,Good,Excellent,Good,Good,Fair,Good,Good,Probablyyes
KoheToorMarquee,Fair,Fair,Excellent,Good,Good,Good,Excellent,Excellent,Definitelyyes
TheCastleMarquee,Fair,Good,Excellent,Good,Good,Fair,Excellent,Excellent,Definitelyyes
LayalpurMarquee,Good,Fair,Excellent,Excellent,Fair,Good,Excellent,Excellent,Definitelyyes
RoyalPalaceMarquee,Excellent,Good,Excellent,Good,Fair,Good,Excellent,Excellent,Definitelyyes
VictoriaMarquee,Good,Excellent,Excellent,Good,Good,Fair,Good,Excellent,Definitelyyes
ParadiseGrandMarquee,Excellent,Good,Excellent,Good,Good,Excellent,Good,Excellent,Definitelyyes
TheSheratonMarquee,Good,Fair,Excellent,Good,Good,Fair,Excellent,Excellent,Definitelyyes
RoyalPalmMarquee,Good,Excellent,Excellent,Good,Good,Fair,Excellent,Excellent,Definitelyyes
WeddingMarquee,Fair,Good,Excellent,Good,Fair,Poor,Good,Good,Probablyyes
VictoriaMarquee,Fair,Fair,Good,Good,Good,Fair,Good,Good,Probablyyes
CrownPalaceMarquee,Fair,Good,Excellent,Good,Excellent,Fair,Good,Excellent,Definitelyyes
LaraibBanquet,Fair,Good,Excellent,Good,Fair,Good,Good,Excellent,Definitelyyes
JumeirahPalace,Fair,Good,Excellent,Good,Fair,Good,Excellent,Excellent,Definitelyyes
QuilimMarquee,Fair,Good,Excellent,Good,Good,Fair,Excellent,Excellent,Definitelyyes
CrownPalaceMarquee,Excellent,Fair,Excellent,Good,Fair,Good,Excellent,Excellent,Definitelyyes
TheRoyalBanquet,Good,Fair,Excellent,Good,Good,Good,Excellent,Excellent,Definitelyyes
FaisalabadMarriageHall,Good,Fair,Excellent,Good,Good,Fair,Good,Good,Definitelyyes
CrystalsBanquetHall,Fair,Good,Excellent,Good,Excellent,Good,Good,Excellent,Definitelyyes
PearlMarriageHall,Excellent,Good,Excellent,Good,Excellent,Good,Excellent,Excellent,Definitelyyes
GulistanMarriageHall,Excellent,Fair,Excellent,Good,Good,Fair,Excellent,Excellent,Definitelyyes
TamaseelMarriageHall,Good,Good,Good,Good,Fair,Fair,Fair,Fair,Probablyyes
RoyalPalmMarquee,Good,Good,Excellent,Good,Good,Good,Good,Good,Probablyyes
QuilimMarquee,Good,Good,Good,Good,Good,Good,Good,Good,Probablyyes
GulistanMarriageHall,Fair,Fair,Good,Good,Good,Excellent,Fair,Good,Probablyyes
StarMarquee,Good,Good,Fair,Excellent,Good,Good,Good,Excellent,Definitelyyes
TheCastleMarquee,Excellent,Excellent,Good,Excellent,Good,Excellent,Excellent,Excellent,Definitelyyes
TheCastleMarquee,Fair,Fair,Good,Good,Excellent,Good,Good,Excellent,Probablyyes
VictoriaMarquee,Good,Fair,Good,Good,Good,Excellent,Excellent,Good,Probablyyes
RoyalPalaceMarquee,Excellent,Excellent,Good,Good,Excellent,Good,Excellent,Good,Definitelyyes
QuilimMarquee,Fair,Fair,Fair,Poor,Poor,Fair,Fair,Poor,Probablyno
RoyalPalmMarquee,Good,Excellent,Excellent,Fair,Excellent,Good,Fair,Good,Probablyyes
TheSheratonMarquee,Good,Fair,Poor,Fair,Fair,Fair,Good,Fair,Probablyyes
GulistanMarriageHall,Excellent,Good,Good,Excellent,Excellent,Excellent,Good,Excellent,Definitelyyes
BandhanMarriageHall,Good,Excellent,Excellent,Excellent,Good,Excellent,Good,Good,Probablyyes
KhayyamBanquetHall,Good,Good,Fair,Fair,Fair,Good,Good,Good,Probablyyes
TamaseelMarriageHall,Good,Good,Excellent,Good,Excellent,Good,Good,Good,Probablyyes
VictoriaMarquee,Excellent,Good,Fair,Poor,Fair,Fair,Good,Good,Probablyno
KoheToorMarquee,Excellent,Excellent,Good,Excellent,Good,Excellent,Excellent,Excellent,Definitelyyes
SevenSeasMarquee,Excellent,Good,Good,Good,Good,Excellent,Good,Good,Probablyyes
VictoriaMarquee,Good,Excellent,Good,Fair,Fair,Fair,Good,Good,Probablyyes
LayalpurMarquee,Fair,Fair,Fair,Fair,Fair,Fair,Good,Fair,Probablyno
TheCastleMarquee,Poor,Fair,Good,Good,Fair,Fair,Good,Good,Probablyyes
VictoriaMarquee,Good,Good,Fair,Good,Good,Good,Good,Good,Definitelyyes
SevenSeasMarquee,Good,Excellent,Good,Excellent,Fair,Excellent,Good,Good,Probablyyes
VictoriaMarquee,Excellent,Good,Good,Fair,Fair,Poor,Excellent,Poor,Definitelyyes
TheCastleMarquee,Good,Fair,Poor,Fair,Good,Excellent,Excellent,Good,Probablyyes
LayalpurMarquee,Good,Fair,Poor,Fair,Good,Excellent,Excellent,Good,Definitelyyes
RoyalPalmMarquee,Excellent,Good,Good,Fair,Excellent,Excellent,Fair,Fair,Probablyyes
LayalpurMarquee,Fair,Fair,Fair,Fair,Excellent,Fair,Excellent,Good,Probablyyes
CrownPalaceMarquee,Good,Good,Good,Excellent,Excellent,Good,Good,Excellent,Probablyyes
ParadiseGrandMarquee,Good,Excellent,Good,Excellent,Good,Excellent,Excellent,Good,Definitelyyes
TheCastleMarquee,Good,Good,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Probablyyes
PearlMarriageHall,Poor,Fair,Poor,Fair,Poor,Fair,Fair,Poor,Probablyno
TheSheratonMarquee,Good,Excellent,Good,Good,Good,Good,Good,Good,Probablyyes
LayalpurMarquee,Excellent,Good,Excellent,Good,Excellent,Good,Good,Excellent,Probablyyes
WeddingMarquee,Excellent,Excellent,Good,Excellent,Excellent,Good,Good,Excellent,Probablyyes
FaisalabadMarriageHall,Excellent,Good,Good,Excellent,Excellent,Good,Excellent,Good,Definitelyyes
CrystalsBanquetHall,Excellent,Excellent,Good,Good,Good,Excellent,Excellent,Excellent,Definitelyyes
TamaseelMarriageHall,Excellent,Good,Good,Excellent,Excellent,Excellent,Excellent,Good,Definitelyyes
TheCastleMarquee,Excellent,Good,Fair,Good,Excellent,Good,Good,Fair,Definitelyyes
TheCastleMarquee,Good,Fair,Good,Excellent,Good,Fair,Excellent,Good,Definitelyyes
KoheToorMarquee,Good,Excellent,Good,Fair,Good,Fair,Excellent,Good,Probablyyes
ParadiseGrandMarquee,Good,Excellent,Good,Fair,Good,Excellent,Fair,Fair,Probablyyes
JumeirahPalace,Fair,Good,Fair,Fair,Good,Excellent,Good,Fair,Probablyyes
WeddingMarquee,Good,Fair,Fair,Good,Excellent,Good,Excellent,Fair,Definitelyyes
FaisalabadMarriageHall,Good,Excellent,Fair,Fair,Good,Good,Excellent,Excellent,Probablyyes
TheRoyalBanquet,Good,Fair,Good,Excellent,Good,Fair,Excellent,Good,Probablyyes
RoyalPalaceMarquee,Excellent,Good,Good,Good,Good,Fair,Excellent,Good,Probablyyes
KhayyamBanquetHall,Good,Fair,Good,Excellent,Good,Fair,Excellent,Good,Probablyyes
JumeirahPalace,Good,Fair,Fair,Good,Poor,Fair,Good,Fair,Probablyno
LaraibBanquet,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Definitelyyes
WeddingMarquee,Excellent,Good,Fair,Good,Fair,Excellent,Good,Good,Probablyyes
KhayyamBanquetHall,Fair,Excellent,Good,Fair,Good,Excellent,Good,Fair,Definitelyyes
JumeirahPalace,Fair,Good,Fair,Excellent,Good,Fair,Good,Good,Probablyyes
RoyalPalmMarquee,Fair,Poor,Poor,Good,Fair,Fair,Good,Poor,Probablyno
WeddingMarquee,Excellent,Good,Good,Excellent,Fair,Good,Excellent,Excellent,Definitelyyes
FaisalabadMarriageHall,Excellent,Good,Excellent,Good,Excellent,Fair,Good,Good,Definitelyyes
LayalpurMarquee,Good,Good,Excellent,Good,Good,Excellent,Excellent,Good,Probablyyes
TheRoyalBanquet,Excellent,Excellent,Good,Good,Good,Good,Excellent,Excellent,Probablyyes
PearlMarriageHall,Fair,Fair,Fair,Good,Fair,Good,Good,Fair,Probablyyes
TheRoyalBanquet,Good,Excellent,Good,Excellent,Good,Excellent,Excellent,Good,Probablyyes
QuilimMarquee,Good,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Definitelyyes
PearlMarriageHall,Fair,Fair,Fair,Fair,Fair,Fair,Excellent,Fair,Probablyyes
TheSheratonMarquee,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Probablyyes
CrownPalaceMarquee,Good,Fair,Good,Good,Fair,Fair,Excellent,Good,Probablyyes
PearlMarriageHall,Good,Fair,Good,Excellent,Good,Excellent,Excellent,Good,Definitelyyes
LayalpurMarquee,Good,Excellent,Good,Fair,Good,Fair,Good,Excellent,Definitelyyes
KhayyamBanquetHall,Fair,Fair,Good,Fair,Poor,Fair,Good,Good,Probablyno
FaisalabadMarriageHall,Good,Fair,Good,Excellent,Good,Fair,Excellent,Good,Probablyyes
TheRoyalBanquet,Good,Poor,Fair,Fair,Poor,Fair,Fair,Fair,Definitelyno
JumeirahPalace,Fair,Good,Poor,Fair,Poor,Fair,Good,Poor,Probablyno
TheRoyalBanquet,Good,Excellent,Fair,Good,Excellent,Good,Excellent,Fair,Probablyyes
GulistanMarriageHall,Fair,Excellent,Fair,Excellent,Good,Fair,Good,Good,Probablyyes
TheRoyalBanquet,Excellent,Fair,Good,Excellent,Good,Fair,Good,Good,Probablyyes
CrystalsBanquetHall,Excellent,Fair,Good,Excellent,Good,Fair,Good,Good,Definitelyyes
